iter	RMSE
0	14.05081806
1	13.12864697
2	12.32937068
3	11.68152486
4	11.05497111
5	10.46893477
6	9.896667905
7	9.551484911
8	9.096173865
9	8.704277099
10	8.38698613
11	8.042112268
12	7.74618036
13	7.502095886
14	7.29783896
15	7.106511382
16	6.920074362
17	6.758096422
18	6.624659489
19	6.475137168
20	6.36770874
21	6.257143009
22	6.167718299
23	6.066696008
24	5.982250463
25	5.895188845
26	5.830741544
27	5.777136431
28	5.719614261
29	5.67535095
30	5.621812452
31	5.576544318
32	5.535651599
33	5.496597505
34	5.45218863
35	5.416305801
36	5.383477868
37	5.355647439
38	5.327986156
39	5.306562117
40	5.272103649
41	5.242794291
42	5.215828226
43	5.180680679
44	5.160976673
45	5.139968593
46	5.117184929
47	5.099751326
48	5.086694149
49	5.065331159
50	5.052815349
51	5.038880463
52	5.020619269
53	4.999790205
54	4.990136162
55	4.968499783
56	4.956533045
57	4.944128833
58	4.939807429
59	4.926624596
60	4.91770452
61	4.910272557
62	4.894892865
63	4.888302402
64	4.877868119
65	4.870747075
66	4.854292021
67	4.839596778
68	4.824825878
69	4.810595353
70	4.799663128
71	4.791933728
72	4.784594326
73	4.771709683
74	4.765893302
75	4.745863824
76	4.728070902
77	4.713320245
78	4.706597992
79	4.694796838
80	4.684314442
81	4.669931899
82	4.66648672
83	4.653717
84	4.64164484
85	4.62643936
86	4.620060427
87	4.612013475
88	4.604734231
89	4.589378565
90	4.567697961
91	4.542478185
92	4.528214496
93	4.520264318
94	4.508911508
95	4.500854791
96	4.493837159
97	4.48959445
98	4.482605058
99	4.465328809
