iter	Passed	Remaining
0	0	31
1	0	29
2	0	30
3	1	28
4	1	27
5	1	27
6	1	26
7	2	23
8	2	23
9	2	23
10	2	23
11	3	22
12	3	22
13	3	21
14	3	22
15	4	21
16	4	21
17	4	20
18	4	20
19	5	20
20	5	20
21	5	20
22	6	21
23	6	21
24	6	20
25	7	21
26	7	20
27	8	20
28	8	20
29	8	20
30	8	19
31	9	19
32	9	19
33	9	18
34	10	18
35	10	18
36	10	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	17
42	13	17
43	13	17
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	18	14
56	18	13
57	18	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	12
64	21	11
65	21	11
66	22	11
67	22	10
68	23	10
69	23	10
70	24	9
71	24	9
72	24	9
73	25	8
74	25	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	32	3
91	32	2
92	33	2
93	33	2
94	33	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
